SigC,SigH,EpsC,EpsH,density
0.3341628292575478,0.1237746269246563,1.1188625470090656,0.0841194662451744,923.743
0.0719161259010434,0.2315295303445309,0.2846894283382222,0.0233569374680519,643.855
0.1697399348020553,0.051940524186939,0.7076812968891113,0.1358850767463445,652.323
0.2080675326287746,0.2855646908106282,0.5560544467752799,0.0766457851976156,482.077
0.2738439304754138,0.1003063019057735,0.331411161583662,0.0510299537330865,699.078
0.1622643282637,0.2720581423621624,0.918175354651548,0.116479982510209,551.978
0.1007692154496908,0.1777712871693074,0.4785772251568734,0.0489509116113185,662.308
0.28861052878201,0.2109236408295109,0.8776130045460536,0.1035027031600475,805.346
0.299739365465939,0.0703137949472293,0.4437728171765804,0.1207328594848513,744.089
0.1130778709426522,0.3017843203153461,0.7811989243069664,0.0617279071733355,365.461
0.126527252048254,0.1395130903609097,0.3584627698622644,0.0992569852247834,654.422
0.239268496632576,0.2494466289328411,1.0068366351889444,0.038260102905333,673.515
0.2285794606432318,0.1620299720531329,0.734539230601862,0.0331802203133702,692.236
0.1914155168458819,0.1930036905612796,0.6445295884935185,0.089372672624886,694.578
0.0642936874181032,0.0819343451149761,1.084353347865865,0.066844526194036,647.355
0.3277227755635976,0.2558398268269375,0.1885630211895331,0.1306539085134863,657.857
0.3285818273201584,0.1178070465810597,0.7237745734447613,0.0773030995205044,835.864
0.0657783867791295,0.2213005562471225,0.6337611028686165,0.1352533571794629,694.752
0.1928630217909813,0.0589697715407237,1.0719004410715771,0.0227215396985411,669.484
0.2294757045805454,0.296863793393597,0.1761138216741383,0.0847731023654341,427.106
0.238406410627067,0.1071481585986912,0.4639271707905456,0.1028599963709712,680.46
0.12504558917135,0.2831447312282398,0.801349566969648,0.0495972387120127,479.518
0.1116322558373212,0.1720162215596065,0.376928873839043,0.1171299556270241,680.637
0.2988412294536829,0.2008820563759655,1.0253065639611334,0.0503908929601311,838.38
0.2877124609425663,0.0774226966165006,0.3423073289049789,0.0369106221944093,713.893
0.0993235344067215,0.3131380843343213,0.9290678110215812,0.1006028456240892,366.464
0.1607825972139835,0.1334918666025623,0.4906727587124332,0.0630701215565204,654.135
0.2729819104075431,0.2391390165071934,0.8897123628970235,0.1193797327578067,737.836
0.2089639877900481,0.1563295668624341,1.0990653352731838,0.1319887816905975,704.626
0.1711872307583689,0.1830417614402249,0.2648883881345391,0.0654840582609176,670.778
0.0734006140381097,0.0886975644966587,0.6890834513874724,0.0880158828943968,649.295
0.3350220900028944,0.2668727712612599,0.5374603085525334,0.0345187716931104,715.216
0.3458086561411619,0.0863605070328339,0.9575515811653807,0.1117869283258915,929.886
0.0835613135248422,0.2516138693150133,0.3082121413715183,0.0557118923962116,608.297
0.1721571801230311,0.1577249312736094,0.8691101887220516,0.1082395953685045,674.448
0.2104842728003859,0.1971090313689783,0.5326495385423302,0.0443127966672182,682.084
0.2575100257992744,0.1439516841387376,0.2315941986938938,0.0243146257847547,675.264
0.1459322161972522,0.2452082395609468,1.1264171881552785,0.0832021617144346,635.841
0.0936639035120606,0.0660211860276758,0.578275090564601,0.0756735557317733,646.938
0.2815068574622273,0.3058772292630747,0.669252187404409,0.1367878544330596,474.678
0.3066971246153116,0.1739450372448191,0.605446558346413,0.0940106802806258,797.705
0.1200361263006925,0.2154827775787562,0.7580314618702977,0.0284432351216673,657.949
0.1430064206942916,0.1042781461589038,0.1969077846420928,0.1259718339517712,648.814
0.2557483134791255,0.2673528743060306,1.0301229674194006,0.0715374587848782,625.171
0.2263097770512104,0.0481017122259363,0.8344820555182173,0.0608252653852105,687.786
0.1891441836953163,0.2901363895963877,0.4364060922868549,0.1217052105441689,483.344
0.0525025876238942,0.1277339091412723,0.9842924757713452,0.0391775147244334,650.602
0.3159298921003937,0.2268368243249133,0.3965683490291237,0.0982993898913264,756.197
0.3206349764950573,0.0568531538164243,0.4733389741241932,0.1389205946028232,777.332
0.0573192742653191,0.2989836411233991,0.8762246019760146,0.0735877819359302,399.813
0.184330094885081,0.119919474247843,0.3288043624483049,0.0810619194060564,653.027
0.2216026681475341,0.2191848497586325,0.9117187070535496,0.0263929117470979,690.375
0.2510417588986456,0.1656359314834699,0.7063906754065304,0.0459153383225202,718.471
0.1381917775608599,0.2072611504551023,0.5509139915196224,0.1065606509894132,692.387
0.1248534030281007,0.1135325899161398,1.1125337500374763,0.0540874415636062,650.794
0.3114016189239919,0.2767614470915869,0.2822104651397094,0.1134439492225647,576.063
0.2768363562412559,0.1356438842108473,1.0853721609879283,0.0966970842704177,793.437
0.0891061757691204,0.2369879182707518,0.1934335630385205,0.0408562230691313,639.432
0.1504925685934722,0.0752748527936637,0.7410794324439018,0.1233294396474957,647.347
0.2621784756891429,0.3152850250573829,0.6472180616086348,0.0591684662178158,363.211
0.215152168367058,0.0951090888073667,0.3634310634195804,0.0694044825807213,660.799
0.1767180868424475,0.2604582610260695,1.007953214708902,0.1280578437820077,604.464
0.0790029956959188,0.149913885038346,0.4465891702972352,0.0305836991593241,650.458
0.3411387450061738,0.1894604454608634,0.7878669914649798,0.091932172589004,872.386
0.3396196222864091,0.1641061163134873,0.2142160038791596,0.0519963609054684,737.318
0.0780318840406835,0.1907308322535827,1.0435756478236988,0.1154544096067548,690.17
0.1665539362467825,0.079975148207508,0.6189140880644322,0.0479843830689787,652.462
0.204369053337723,0.2579962259437889,0.7753544165769591,0.1045281689986586,612.403
0.2683875660412013,0.0681389590688049,0.9669576959650964,0.0869030592963099,759.322
0.1039553587324917,0.1418380686109885,0.8209799741078168,0.1331016055122018,659.29
0.2923094389028847,0.2473227581884712,0.4190561106173321,0.0793703195825219,689.205
0.2940632029436528,0.0978657268844545,0.8556113830845802,0.032389050796628,797.137
0.1068890846334397,0.2737664895774797,0.5152971918528899,0.090104675963521,530.358
0.1297867090441286,0.1803616465767845,0.9402144657183438,0.0676355881989002,670.012
0.2431870617903769,0.2090650210659951,0.2947286881653592,0.1299217833578586,716.683
0.2342557656578719,0.1255807362161576,0.5917478056989609,0.1177740287780761,688.898
0.1976047317497432,0.2289867672445252,0.6865709262060001,0.0647459036111831,671.829
0.0610346612520515,0.0502507439097389,0.2488981726467609,0.1022159229964018,644.318
0.3238043551333248,0.2879906367342919,1.139875024596788,0.0352422278374433,711.52
0.3263982007279992,0.1102143448023125,0.2620938517717645,0.0905090281367302,735.737
0.0629818217828869,0.2798125445116311,1.0953090345490724,0.0319746854901313,502.115
0.1994775056838989,0.1689504726678133,0.5479037655239924,0.1295010151714086,692.201
0.236631029099226,0.2042148105809465,0.7004886690478771,0.0680371852964162,717.711
0.2452784312888979,0.1208731676964089,0.9263268585184588,0.063390377536416,721.479
0.1325293323025107,0.2179681742656976,0.3386027317762374,0.1191122201830148,692.003
0.1097060944885015,0.0559042179137468,0.9002075234638526,0.0365849874913692,647.44
0.2963731545954942,0.3001966126868501,0.5021315602324903,0.1008613173663616,487.167
0.289923937804997,0.1505972668929025,0.8038507912853732,0.1138800121471285,792.769
0.1020928034558892,0.1879735885504633,0.4673901411056518,0.053588093034923,667.342
0.154214059561491,0.094429292909801,1.01505112790931,0.1061153185740113,651.259
0.2657811939716339,0.2619405027711764,0.3657116881154477,0.0464090794697403,613.329
0.2020647605881095,0.0716905919117853,0.6363140381244943,0.0212830819562077,664.851
0.1637312842532992,0.3180699765328318,0.7272911349643021,0.0862625010684132,315.699
0.0752813298255205,0.1392235299274325,0.1659119768267497,0.0787361785396933,655.235
0.3375362005084752,0.2342065527522936,1.0607349662881345,0.1337549176439643,868.983
0.3430115278810262,0.1406193987727165,0.4331903693800792,0.0423161214962601,793.849
0.0813782680779695,0.2482743271151558,0.8322299735646694,0.0952252281084656,628.415
0.1793119413778185,0.0693540388820692,0.4075533294586464,0.0576956994459033,651.218
0.2170993378385901,0.3028115790206939,0.9943138115752488,0.1247847510501742,449.848
0.264995476603508,0.083028286755085,0.7547489859091118,0.1275198259577155,734.293
0.1528025113046169,0.2546801521340385,0.6031258430741727,0.06992321934551,602.417
0.0911975363269448,0.1610575888631865,1.041039314530231,0.092453647442162,664.189
0.2795789705589414,0.1940433160383254,0.2068623673915863,0.0300520958378911,692.146
0.3094669748097658,0.0530337010398507,1.129459921239503,0.0733052512258291,865.431
0.12224703989923,0.2844042513305321,0.2336733018420636,0.1392224063724279,508.012
0.1358062854036688,0.1228014789475128,0.6585755794981494,0.0266919711232185,649.409
0.2491792125627398,0.2325683910343796,0.5685621089220046,0.0807729884982109,694.928
0.2188521049916744,0.1788768307939172,0.3111862484818324,0.1077963010966777,695.545
0.1822466641664505,0.2097505742246285,0.9595639386039226,0.0446916459500789,676.505
0.0550149725750088,0.0993457810534164,0.5219061849264428,0.1122211817651987,648.724
0.3178123155608773,0.2730846362803131,0.8593285811055451,0.0553276643902063,698.487
0.3131781985051929,0.1711015790402889,0.9976987206254152,0.0283916479721665,858.961
0.0504202884621918,0.2020628011086955,0.3522129430724308,0.0940742278471589,684.329
0.1868433023802936,0.108067412215285,0.7903672774847597,0.0716055746003985,661.954
0.2234836968593299,0.281960396470502,0.4500530862530693,0.1259211672469973,520.421
0.2538102143444121,0.0623187362849712,0.183230772550404,0.1227099206671118,666.779
0.1404035137034952,0.2937850965121761,1.074207624500431,0.0598398407921195,408.141
0.1176518014632165,0.1144544918118044,0.6497719314880669,0.097307562418282,650.555
0.3048334120772779,0.2243838642258197,0.744595051995106,0.0401794697716832,795.274
0.2843204122968017,0.0923094207718968,0.5613565028503537,0.0574022730439901,742.029
0.095977293420583,0.2640570960873738,0.7177968313628807,0.110077262148261,578.369
0.1480247351340949,0.1527129489732906,0.2794168634004891,0.0426095476746559,654.555
0.2602514828555285,0.1858611364755779,1.108776507345028,0.1099327167868614,782.053
0.212355934176594,0.1328444114401936,0.8867207045111805,0.082433658093214,683.005
0.1745335751213133,0.2405868184203282,0.4847968410206958,0.0250711689889431,634.066
0.0861585794948041,0.0780738516403362,0.9089768162544816,0.1375398150831461,646.824
0.3477524152956903,0.3116855208072811,0.3251007109602913,0.0749041459709406,460.327
0.3327212176285684,0.0629404480187222,0.6758952602680772,0.0987906417250633,830.341
0.1684355461038649,0.1470371796935796,1.1429168193850665,0.1212046887725591,670.536
0.2068816975690424,0.2418577421912923,0.2509782214356586,0.0612643321603536,641.513
0.2705975766293704,0.1589076703516766,0.5045528925962746,0.0663724396377802,724.086
0.1589188757352531,0.1961965133715421,0.8458307137640192,0.1311177412420511,703.851
0.0973854263313114,0.0851740640252828,0.2977037298992276,0.0336468206346035,651.094
0.2851095450110733,0.2525311448583379,0.942225881188549,0.088899677246809,718.708
0.3009337573312223,0.1291796699268743,0.3940656254597008,0.1354194415733218,740.541
0.1143737218342721,0.2261871978584677,0.9769799700649454,0.0771196741983294,670.15
0.1278591529466211,0.0466513362750411,0.4158413223341107,0.0845906019583344,649.046
0.2407198094762861,0.2907896020198241,0.8187269501859321,0.0228921968117356,520.605
0.2320729616098106,0.1014644653303548,1.0544929369028655,0.0484799768403172,707.374
0.1948067720048129,0.27096685510315,0.2241696520050987,0.1039672442153096,550.758
0.0676500392146408,0.1767623040303588,0.7720710023198276,0.0514953884109854,663.014
0.3309582133777439,0.2118641816163435,0.6165943184329197,0.1160062935575843,830.965
0.3303881668485701,0.1777239924035966,0.3494102209497243,0.0404954557865858,766.91
0.0682203785516321,0.2128342012884095,0.9987468183128162,0.0970394705981016,685.667
0.194225265737623,0.1015608702143654,0.4527858548324555,0.0595072025060653,661.093
0.2326547651551663,0.2710715912859887,0.7892492886846885,0.1229650223255157,581.124
0.2401211281307042,0.0476298174224793,1.0753252680957317,0.1255913926661014,719.932
0.1284581136889755,0.291743089270778,0.1804976146975532,0.0718598778545856,429.618
0.1137819225899875,0.1292926072319969,0.7435466531716286,0.0943912429362535,651.956
0.3015258315019309,0.2262751412671059,0.6525742790268734,0.0281209231168031,774.529
0.2845377639867365,0.0858869687505066,0.7164386369645594,0.0751167330518365,760.926
0.0979575001634657,0.2532190556870773,0.5638490695038809,0.137402699328959,627.109
0.158335670735687,0.1592861515348777,1.110065747090429,0.0248713413998484,657.896
0.2711810789071023,0.1965500006582587,0.2768552870081737,0.0825871954485774,716.499
0.2062836063094437,0.147733291644603,0.4873589829612523,0.1097339182719588,675.305
0.169033916760236,0.2425621854411438,0.8854321037618442,0.0427604519948363,635.51
0.0699832978658378,0.0633023967808112,0.3226086951654404,0.1102927129343152,647.809
0.3333127374760806,0.3095943027641624,0.9103356055801732,0.0572643588855862,565.791
0.3483473504893482,0.0778942822506651,0.5826607620161026,0.0885721335932612,828.163
0.1751308192498982,0.1319325989894569,0.2504017322231084,0.1314324096217751,660.091
0.2117589694447815,0.2396999998660758,1.1461911499826236,0.0660993680730462,669.567
0.2608361474238336,0.1525499120047316,0.8425560820303857,0.0615763710811734,742.417
0.1474403678439557,0.1856897682081908,0.5051290072249248,0.1209326498582959,691.762
0.0965459161438047,0.0914144010953605,0.9454494207799434,0.0384044944867491,649.271
0.2837520823813975,0.2631537451120093,0.2970764680424705,0.0990500360354781,613.232
0.3054266485385596,0.1140258784210309,0.9800140950642524,0.1158114421367645,839.239
0.1170588399283587,0.223946919536218,0.3932489343212917,0.0516502398252487,658.192
0.1409990233369171,0.0616892604865133,0.8157442074477672,0.1041784023493528,649.984
0.2532149841077625,0.2931472894148901,0.4167093406477943,0.0483377700299024,455.587
0.2240689157508313,0.1076222664033994,0.2233021845500916,0.0231025529652833,658.217
0.186258380766958,0.2815402445551008,1.0574762745684012,0.0844512552767992,505.501
0.0509895012713968,0.1704553104676306,0.6174115751195699,0.0769221933186054,668.483
0.3126092785038054,0.2014415264325216,0.7690375163165852,0.1355753256380558,842.51
0.317240266315639,0.0994409980764612,1.092746951366775,0.100721828751266,875.081
0.0555867424234747,0.2731881846021861,0.2633826287958771,0.0367952589318156,529.278
0.1816631551831961,0.1798396744839847,0.7029807436009868,0.1192680159583687,692.93
0.2194353390485048,0.2107217492135241,0.5465451524730771,0.0631927511468529,692.949
0.2485808173194527,0.122913488744758,0.3399611024493351,0.0681921826675534,681.302
0.1364043878391385,0.2326554069351405,0.9238343506231904,0.1293062524870038,678.783
0.1216555267572403,0.0540130771510303,0.5008424967618659,0.0318325638398528,649.105
0.3100581906735897,0.2853586335452274,0.9027691586144267,0.0907203286513686,617.263
0.2790086200460791,0.1614372579073533,0.4662726737851276,0.1334827327728271,739.984
0.0917676074430346,0.1943979911860078,0.8065840078964829,0.0790481287240982,677.894
0.1522207368165254,0.083740036163479,0.3667602632137015,0.0865218102186918,648.604
0.2655769761651754,0.2553669076459482,1.0122488391287623,0.0209545939415693,712.693
0.2165003882721066,0.0697169151520356,0.7300939158452674,0.046665755584836,677.353
0.1799105981364846,0.3031827865894884,0.6352661167118698,0.1057878596335649,419.323
0.0807861648499965,0.1413146157599985,1.0580022564670069,0.0533151097595691,652.601
0.3436033338308334,0.2489778754012659,0.1670301419015973,0.1141948260366916,679.22
0.3381291329860687,0.1383107899688184,0.8330974997779353,0.0302029149979352,864.943
0.0746881000697612,0.2333188066901639,0.4302072079893201,0.0922547065466642,662.67
0.1643265256658196,0.0715119174858555,0.9934966136468574,0.0697851592302322,654.588
0.2663661446422338,0.0935330853722989,0.600091894349642,0.1246477235853672,721.747
0.153628833964467,0.2610359639348462,0.7555657358057797,0.0579084320366382,580.487
0.1026617122814059,0.1504353852411732,0.2098452864045277,0.0953789073973894,658.513
0.2893547495827078,0.1878033755999058,1.0401713549748062,0.0421163786202669,819.5
0.2969678215682506,0.0552756696231663,0.2369481098504737,0.0555818793550133,700.389
0.1091111302375793,0.2995597330974415,1.1288838653691111,0.1118912616744637,431.729
0.1331262724474072,0.120443659341894,0.5653387456053868,0.0444207791611552,649.397
0.244681198336184,0.2175303346123546,0.6592029001131654,0.108113231472671,726.877
0.2372153896838426,0.1683053919561207,0.958937124778889,0.0805049818381667,725.816
0.1988928701728582,0.2035947237657383,0.3144103095527738,0.0270080995187163,662.73
0.0635501762852072,0.1097680436735972,0.8599051290763542,0.1394776539877057,651.162
0.3258295668289065,0.2793912372794002,0.518632030603662,0.0729727016761899,620.388
0.3232231416739523,0.0504292718870565,0.8737852703049778,0.1137155904993415,852.105
0.0616155774332582,0.2881441708151251,0.4747504035050049,0.0537750050053,441.876
0.1970303690992295,0.1264935900792479,0.9143335184283554,0.106301770992577,673.794
0.2348298355005681,0.2298746272111311,0.3275683576853946,0.046244198270142,667.479
0.242597830761224,0.18052364213299,0.5521505324516445,0.0261350626125931,695.947
0.1303756651468575,0.2092353479210287,0.7037764736486598,0.0813881481066346,680.369
0.1062884251587092,0.0987617879733443,0.2807996159967035,0.0738622815534472,647.452
0.2946635830216109,0.2746708819651976,1.114973706015013,0.1386073542758822,652.561
0.2917299241758883,0.1422677234141156,0.192437760201469,0.0920728342235088,695.611
0.1045345761813223,0.2477607442904263,1.0882271779609844,0.0303746579587459,619.611
0.1555760844610631,0.0687673934549093,0.6483883452590554,0.1279005316644907,653.724
0.2689599013887346,0.3043953025350347,0.738398958714865,0.0696005354076624,444.907
0.2037792679853737,0.0804213354317471,1.0106333726122974,0.059014012441039,676.502
0.1671434466727078,0.2584174192715436,0.3622604198748246,0.1235246887058019,605.068
0.0774306344799697,0.164751343473792,0.7850116439767181,0.0409979155659675,655.152
0.3402205924503505,0.1913510655174032,0.4475845691712573,0.0964854118227958,811.311
0.3417408416979015,0.1489511552527547,1.0443252370305358,0.079117334857583,933.204
0.0784006196074187,0.1884893843764439,0.2111147769482806,0.1334326986223459,695.467
0.1773041819222271,0.0950137253357097,0.7744192963317036,0.0209018038213253,656.442
0.2145657983608543,0.2603545662555844,0.6218297288710251,0.0865846125781536,599.307
0.2627542621456086,0.0742953302338719,0.3801665301021188,0.1047966620326042,689.942
0.0896842309273779,0.1355319883180782,0.4221578737173229,0.1151987900584936,656.232
0.2762580038048327,0.2369010162744671,0.8202309945179149,0.0523284813016653,738.868
0.3120054501108825,0.1128207266032695,0.5184530345853418,0.0350909223034977,775.534
0.1242492924444377,0.276074577675201,0.8549164684375747,0.1024143202975392,525.257
0.1387795713730156,0.1652564088879153,0.291386315504089,0.0648843356594443,663.162
0.2504536901600659,0.2069066217560321,0.9407229128671808,0.1175590958818793,760.254
0.2221778645180165,0.1192244037091732,0.6860621485419571,0.1300575805827975,683.926
0.1837546057067811,0.2184814479211345,0.5950897743972018,0.067421682588756,676.404
0.0578967751003801,0.0564901636419817,1.1405696234181524,0.0899525702372193,647.603
0.3200571783818304,0.2986123196501284,0.2457419700199738,0.0325903100147843,489.405
0.3153506813570856,0.1286456076875329,0.6310811212399974,0.0501768467575311,800.253
0.0530820732936263,0.2277235289746895,0.724945275747776,0.1172656694799661,678.553
0.1885718237608671,0.0482814280642196,0.1789693454371765,0.0497984109818935,653.078
0.226882416382432,0.2902911115381867,1.070905100955814,0.1027077464759349,498.129
0.2551587963476777,0.1051733122840523,0.8023454285649582,0.0849716433882713,722.468
0.1435962351039052,0.2682563717300072,0.4610723300922661,0.0225703206658363,564.02
0.1194351807236671,0.1741079603089019,1.0241363390689715,0.1350385072082281,684.156
0.3072983630001544,0.2156540319416672,0.3796095238428563,0.0774416717141866,754.688
0.2809259122237563,0.0666507757306099,0.927831328847818,0.0342030431702733,780.538
0.0942451236769557,0.3065151502648368,0.344921706937626,0.0882842894271016,376.496
0.1453581575304269,0.1443801510808989,0.8911232707982882,0.0658160957321524,654.747
0.2580843638628721,0.2456450378019363,0.4882329790096729,0.1317330219969153,680.131
0.2098953457549214,0.1583710533976555,0.2673278960803523,0.1197109664604068,674.415
0.1727464044466614,0.19773015959654,1.0976539646506307,0.0628172202035784,683.143
0.0829609222710132,0.0868057667491957,0.534845673452504,0.1002844858542084,649.08
0.3464093402028083,0.2520341351348907,0.6903195149086415,0.0371800595894455,796.41
0.3356261894106864,0.0886013060612604,0.3087210953103378,0.1369830205664038,753.846
0.0727968074381351,0.2667681815270334,0.9542096712253988,0.0755189618095755,555.767
0.171775328554213,0.1553677645847201,0.5319551159957423,0.0829903455451131,667.602
0.2083761872723698,0.1820716278636828,0.8722664501070976,0.0244562317803502,682.612
0.2735574107617139,0.1333788153929636,1.123261404181085,0.0441038424149155,789.32
0.1602073762565851,0.239050959194079,0.2322892896156758,0.1083804011717438,653.731
0.0999013034626841,0.0764443619176745,0.672594618823938,0.0559080858156085,645.595
0.2871349668130278,0.3121847435319796,0.5777668196905403,0.1116296995803713,439.589
0.2994436301290988,0.1716375939277932,0.7609465811973437,0.098625531643629,810.323
0.1110301479697227,0.2005284226406365,0.604510990069434,0.038919521421194,664.232
0.1256319524720311,0.1064353677779436,1.0270212630776687,0.121391829624772,649.233
0.2378203446045518,0.2824569343039766,0.1976569405067712,0.0610996816307306,490.842
0.2300517592579126,0.0586079366831108,0.4356566793547943,0.071225105151534,674.029
0.1922872465103864,0.296493627237156,0.8375833412073552,0.126243615373969,464.267
0.0663567459210753,0.1171107881814241,0.3975036455491557,0.0287722387909889,647.023
0.3280037431046366,0.2205959665486589,0.981376893723011,0.0937518867850303,868.956
0.32714184820652,0.0825628934055566,0.4229590535935014,0.0253443150967359,773.472
0.0648748897016048,0.2564767064163461,0.8248820081671699,0.0821206449717283,598.688
0.1908414402976632,0.1624594804076478,0.3869685514006763,0.0746529072523117,669.368
0.2291538165882229,0.1934415302146226,0.9708456280423328,0.1378747498989105,743.934
0.238679551705718,0.1401581710726022,0.7791831184931098,0.1107563377916813,709.799
0.1271164942532777,0.2500667157480493,0.6227437025697902,0.0567925079166889,612.84
0.1124774975702166,0.0707600960759446,1.0474203319862485,0.1092611450701952,644.476
0.300340031646192,0.302205627547577,0.2180597203666344,0.0432268024235963,424.921
0.2880313001573085,0.1786840271279215,1.1360754943199454,0.0599808559194207,830.032
0.1013487190008163,0.2118113868916407,0.2450995549591258,0.1224995950236916,693.268
0.1616919862106442,0.1004849763317033,0.682757293947041,0.0400309650227427,650.908
0.2744165519252419,0.2722118228916079,0.5879332057649269,0.0975103841349482,595.272
0.2074780333787202,0.052836731724441,0.2908567383345216,0.0948559909686446,658.071
0.1703297313302755,0.2864692296469584,0.93634160697069,0.0276497518643736,478.281
0.0713151624426245,0.1239365085763856,0.5114393440041691,0.1251174824312329,652.716
0.3347640855237841,0.2316997432950884,0.8517545065833255,0.0723255633190274,842.148
0.3472708059474825,0.1215991744874045,0.2860381975445896,0.1037129746004939,759.401
0.0844432076439261,0.2164405647236854,1.1163605735255404,0.0488114229962229,663.761
0.1741914954036474,0.0542318195104599,0.5547558259066194,0.116282356120646,653.583
0.2107940036803484,0.3005362229505554,0.7102334811409935,0.0511857495084405,384.798
0.2572247276082635,0.1109445172427222,0.9156226195409892,0.0764510225132107,737.584
0.1438740449026227,0.2782807693202048,0.332709187524952,0.1360400741174817,531.936
0.0927970588207244,0.1672822399139404,0.8801144124813377,0.0235682379826903,649.891
0.2800302259624004,0.2045502551952377,0.4772278169544413,0.0839773445948958,748.062
0.3064024588093161,0.0726891883863136,0.7839922506168484,0.1309658586978912,811.468
0.1421123404055833,0.1372884352579713,1.0040944561071692,0.0890441846102476,658.609
0.2542989399284124,0.2342751354509964,0.3595713371427729,0.0334395294636487,676.124
0.2277809994295239,0.1515916977180168,0.6434213223490863,0.0379326439648866,684.449
0.1900169918313622,0.1867144030425697,0.7372817842675372,0.099513661339879,695.609
0.0545644335448742,0.0924900325909257,0.1896208415325731,0.0620427210628986,649.724
0.3162120699882507,0.2620132511192933,1.081560410829447,0.1204598762094974,744.733
0.3209535296075045,0.1603126779971644,0.6654225159769878,0.086055445484817,824.602
0.0593441727571189,0.1955895123500377,0.5744464455705136,0.0214273528382182,654.615
0.1852391977794468,0.0847138696014881,1.1225734147457405,0.1339545980468392,664.438
0.2230370235629379,0.254324566767551,0.2277495714534074,0.0785845181718468,611.73
0.2495555183850228,0.0643412900147959,0.5287475650774315,0.0528430448845028,695.746
0.1373339920304715,0.3086211873311549,0.8652071851514279,0.1146586375311017,402.506
0.1227676653303206,0.1465728196203709,0.3043242698887363,0.0471323203667998,651.821
0.3111433283425867,0.2436553297499195,0.953664559841156,0.1053149002417922,790.244
0.2753960910253226,0.1026005282355472,0.4004412683712318,0.1188023447990417,709.409
0.0882023925893008,0.2700992406401783,0.9881643650077284,0.0636666756868362,536.006
0.1484707009978592,0.1765642851665615,0.4402630293825641,0.1011929856985807,677.826
0.2618563015945255,0.2139281103843823,0.8383398427724837,0.0363304965943098,741.805
0.215425023343414,0.1303198984814808,1.0339215281849723,0.0313616646081209,689.973
0.1787887058220804,0.2253154177460819,0.2007073718409985,0.0911848337203264,675.435
0.0798479513265192,0.0464574830606579,0.7618460048822685,0.0686575956642627,645.495
0.3426372610963881,0.2928493651384488,0.6092602475274354,0.1288325847685337,592.534
0.3393246703781187,0.0606494702547788,1.021401681962423,0.0448947041481733,905.265
0.0759828076697886,0.2941195078501478,0.3730250182736665,0.1076475607603788,448.357
0.1656595698557794,0.1151857138006016,0.7974606672173365,0.0551171165704727,655.686
0.202919393684715,0.222853138582781,0.4600374172072857,0.1123624181747436,692.344
0.26985850231722,0.1694281473606825,0.1722870587805286,0.1399421586096287,702.54
0.1570212346501648,0.2024013780960813,1.068072648072243,0.0725018019974231,683.416
0.1060169185511767,0.1087944685546681,0.6299183577286078,0.0800313145667314,647.445
0.2925913306884467,0.2804338364768773,0.71993267846331,0.0274735129624605,634.74
0.2955250666476786,0.1309062006697058,0.5412580173233523,0.0702579185739159,756.484
0.1077706926502287,0.2406606163168326,0.6928801300525664,0.1272688237205148,660.814
0.13182073822245,0.0790672491891309,0.2687001988874748,0.0297393039986491,647.565
0.2434965065680444,0.310425302023068,1.1028779961846769,0.0927265713736415,420.132
0.2339701813645661,0.0903753756508231,0.8935861342338844,0.0958427184447646,701.424
0.1955462743528187,0.2641267283344641,0.4945475564826279,0.0416443132981658,577.69
0.0601675304584205,0.1537105121714994,0.9329274803763254,0.1241747646406293,663.082
0.322327437531203,0.1845967520419508,0.3461661444287747,0.0583749972656369,764.202
0.3243455782532691,0.1453572206264362,0.946115691693872,0.1283741774782538,871.243
0.0626904137432575,0.2446017673816531,0.3015925727294758,0.0691351148113608,626.908
0.1979970598593354,0.0655615204460919,0.849734626251459,0.0916083367541432,669.344
0.2357674511149525,0.3076711800144985,0.5084577176729217,0.0308455790951848,349.31
0.246163571998477,0.0877618778711184,0.2548200558226555,0.0414626711979508,669.183
0.1339876476675272,0.2510115627851337,1.1467596251195296,0.0960142338648438,621.423
0.1100096998736262,0.1572611000426113,0.5858616218376904,0.0585401089116931,659.948
0.2984130030497908,0.1989071477698162,0.6797220837561413,0.1239903665706515,807.118
0.2907997198402881,0.0492372625609859,0.6127815969269722,0.1067747513949871,758.244
0.1035604909062385,0.2892682625632733,0.7682592521613463,0.0457776401937007,433.723
0.1544904204085469,0.1275353777073323,0.2203729127455502,0.1132517722994089,655.569
0.267848309315741,0.2289002405228093,1.050695288726501,0.054247048869729,758.567
0.200021219626069,0.1750847532292828,0.8148681915841997,0.0743258997052908,688.926
0.1634307812899351,0.2146104848962277,0.4119815960573032,0.1381355109065771,702.66
0.0738284057006239,0.1040837803743779,0.973105229216814,0.0256622818112373,650.402
0.336645078472793,0.2694121248545125,0.3901917972007766,0.0818545052409172,650.44
0.3450880376622081,0.1054794051386416,0.7484397361576557,0.0644177780300378,856.005
0.081645212136209,0.2834796551363542,0.6536156479755416,0.1180320767313242,499.213
0.1808068376034498,0.1727479561185464,1.0780363264165818,0.0355629657208919,673.628
0.2179478976875543,0.1993518433030695,0.1870603870557621,0.1019505016505718,693.421
0.2640953177586198,0.116134127471596,0.4539400469828397,0.0894807264208793,702.406
0.1513586463406682,0.2216396458046511,0.7942552095619961,0.033053927719593,656.838
0.0908694669604301,0.0596973404502496,0.3561158860486,0.1305239381641149,648.18
