,SigC,SigH,EpsC,EpsH,density,estimErr
100,0.075,0.1593,0.9037,0.09,650.047,13.0
101,0.075,0.1593,0.9037,0.11,657.998,18.0
102,0.075,0.1593,0.9037,0.13,654.21,22.0
103,0.075,0.1593,1.068,0.03,643.7,18.0
104,0.075,0.1593,1.068,0.05,644.084,15.0
105,0.075,0.1593,1.068,0.07,648.205,18.0
106,0.075,0.1593,1.068,0.09,652.222,14.0
107,0.075,0.1593,1.068,0.11,658.015,20.0
108,0.075,0.1593,1.068,0.13,661.326,17.0
109,0.075,0.2048,0.2465,0.03,649.809,16.0
110,0.075,0.2048,0.2465,0.05,660.679,16.0
111,0.075,0.2048,0.2465,0.07,657.91,19.0
112,0.075,0.2048,0.2465,0.09,668.89,18.0
113,0.075,0.2048,0.2465,0.11,676.88,19.0
114,0.075,0.2048,0.2465,0.13,684.434,20.0
115,0.075,0.2048,0.4108,0.03,647.628,19.0
116,0.075,0.2048,0.4108,0.05,656.358,19.0
117,0.075,0.2048,0.4108,0.07,658.652,21.0
118,0.075,0.2048,0.4108,0.09,668.039,20.0
119,0.075,0.2048,0.4108,0.11,681.124,17.0
120,0.075,0.2048,0.4108,0.13,688.32,19.0
121,0.075,0.2048,0.5751,0.03,648.623,16.0
122,0.075,0.2048,0.5751,0.05,654.188,18.0
123,0.075,0.2048,0.5751,0.07,663.63,17.0
124,0.075,0.2048,0.5751,0.09,668.187,18.0
125,0.075,0.2048,0.5751,0.11,679.341,22.0
126,0.075,0.2048,0.5751,0.13,686.242,16.0
127,0.075,0.2048,0.7394,0.03,643.445,19.0
128,0.075,0.2048,0.7394,0.05,654.98,18.0
129,0.075,0.2048,0.7394,0.07,666.607,17.0
130,0.075,0.2048,0.7394,0.09,668.337,21.0
131,0.075,0.2048,0.7394,0.11,673.878,23.0
132,0.075,0.2048,0.7394,0.13,689.969,16.0
133,0.075,0.2048,0.9037,0.03,650.061,16.0
134,0.075,0.2048,0.9037,0.05,651.677,20.0
135,0.075,0.2048,0.9037,0.07,665.561,17.0
136,0.075,0.2048,0.9037,0.09,665.878,20.0
137,0.075,0.2048,0.9037,0.11,673.039,20.0
138,0.075,0.2048,0.9037,0.13,686.331,16.0
139,0.075,0.2048,1.068,0.03,647.455,18.0
140,0.075,0.2048,1.068,0.05,656.863,18.0
141,0.075,0.2048,1.068,0.07,665.982,15.0
142,0.075,0.2048,1.068,0.09,667.592,19.0
143,0.075,0.2048,1.068,0.11,677.813,19.0
144,0.075,0.2048,1.068,0.13,685.247,23.0
145,0.075,0.2503,0.2465,0.03,601.879,19.0
146,0.075,0.2503,0.2465,0.05,597.96,17.0
147,0.075,0.2503,0.2465,0.07,608.553,12.0
148,0.075,0.2503,0.2465,0.09,610.582,14.0
149,0.075,0.2503,0.2465,0.11,617.763,13.0
150,0.075,0.2503,0.2465,0.13,624.17,14.0
151,0.075,0.2503,0.4108,0.03,600.889,17.0
152,0.075,0.2503,0.4108,0.05,601.209,15.0
153,0.075,0.2503,0.4108,0.07,603.571,11.0
154,0.075,0.2503,0.4108,0.09,608.905,14.0
155,0.075,0.2503,0.4108,0.11,614.166,15.0
156,0.075,0.2503,0.4108,0.13,616.802,20.0
157,0.075,0.2503,0.5751,0.03,604.603,15.0
158,0.075,0.2503,0.5751,0.05,599.341,15.0
159,0.075,0.2503,0.5751,0.07,606.359,13.0
160,0.075,0.2503,0.5751,0.09,611.269,14.0
161,0.075,0.2503,0.5751,0.11,618.169,15.0
162,0.075,0.2503,0.5751,0.13,618.875,19.0
163,0.075,0.2503,0.7394,0.03,595.486,18.0
164,0.075,0.2503,0.7394,0.05,597.898,15.0
165,0.075,0.2503,0.7394,0.07,607.304,14.0
166,0.075,0.2503,0.7394,0.09,612.526,11.0
167,0.075,0.2503,0.7394,0.11,614.57,14.0
168,0.075,0.2503,0.7394,0.13,624.563,15.0
169,0.075,0.2503,0.9037,0.03,604.867,17.0
170,0.075,0.2503,0.9037,0.05,605.762,11.0
171,0.075,0.2503,0.9037,0.07,607.228,14.0
172,0.075,0.2503,0.9037,0.09,610.226,13.0
