,SigC,SigH,EpsC,EpsH,density,estimErr
1,0.05,0.0455,0.1643,0.02,634.421,4.1
2,0.05,0.0455,0.1643,0.04,641.987,3.2
3,0.05,0.0455,0.1643,0.06,638.865,2.3
4,0.05,0.0455,0.1643,0.08,640.72,3.3
5,0.05,0.0455,0.1643,0.1,638.745,4.4
6,0.05,0.0455,0.1643,0.12,630.802,2.3
7,0.05,0.0455,0.1643,0.14,639.814,4.7
8,0.05,0.0455,0.3286,0.02,638.968,4.4
9,0.05,0.0455,0.3286,0.04,633.104,3.8
10,0.05,0.0455,0.3286,0.06,640.002,4.4
11,0.05,0.0455,0.3286,0.08,631.58,4.7
12,0.05,0.0455,0.3286,0.1,640.634,2.9
13,0.05,0.0455,0.3286,0.12,636.454,4.1
14,0.05,0.0455,0.3286,0.14,636.951,1.8
15,0.05,0.0455,0.4929,0.02,636.031,3.3
16,0.05,0.0455,0.4929,0.04,639.548,5.6
17,0.0500,0.0455,0.4929,0.06,479.741,--
18,0.05,0.0455,0.4929,0.08,638.596,3.3
19,0.05,0.0455,0.4929,0.1,639.01,3.1
20,0.05,0.0455,0.4929,0.12,640.459,2.6
21,0.05,0.0455,0.4929,0.14,644.386,2.1
22,0.05,0.0455,0.6572,0.02,630.721,5.9
23,0.05,0.0455,0.6572,0.04,644.16,4.1
24,0.05,0.0455,0.6572,0.06,635.734,2.7
25,0.05,0.0455,0.6572,0.08,638.007,5.5
26,0.05,0.0455,0.6572,0.1,638.319,3.4
27,0.05,0.0455,0.6572,0.12,632.855,3.9
28,0.05,0.0455,0.6572,0.14,628.472,6.1
29,0.05,0.0455,0.8215,0.02,636.348,2.4
30,0.05,0.0455,0.8215,0.04,634.283,3.4
31,0.05,0.0455,0.8215,0.06,641.911,3.7
32,0.05,0.0455,0.8215,0.08,640.573,2.9
33,0.05,0.0455,0.8215,0.1,634.216,5.9
34,0.05,0.0455,0.8215,0.12,639.856,3.5
35,0.05,0.0455,0.8215,0.14,636.645,2.2
36,0.05,0.0455,0.9858,0.02,637.272,3.8
37,0.05,0.0455,0.9858,0.04,642.89,4.5
38,0.05,0.0455,0.9858,0.06,640.876,2.4
39,0.05,0.0455,0.9858,0.08,633.697,6.9
40,0.05,0.0455,0.9858,0.1,640.99,4.4
41,0.05,0.0455,0.9858,0.12,641.396,2.3
42,0.05,0.0455,0.9858,0.14,641.372,2.8
43,0.05,0.0455,1.1501,0.02,640.986,3.3
44,0.05,0.0455,1.1501,0.04,640.664,2.5
45,0.05,0.0455,1.1501,0.06,642.195,4.7
46,0.05,0.0455,1.1501,0.08,644.147,25.2474
47,0.05,0.0455,1.1501,0.1,638.78,28.2736
48,0.05,0.0455,1.1501,0.12,634.956,4.9
49,0.05,0.0455,1.1501,0.14,642.42,4.5
50,0.05,0.091,0.1643,0.02,638.031,3.8
51,0.05,0.091,0.1643,0.04,643.046,4.1
52,0.05,0.091,0.1643,0.06,640.678,3.7
53,0.05,0.091,0.1643,0.08,640.968,2.5
54,0.05,0.091,0.1643,0.1,638.434,4.1
55,0.05,0.091,0.1643,0.12,634.417,28.3402
56,0.05,0.091,0.1643,0.14,639.479,2.5
57,0.05,0.091,0.3286,0.02,641.117,4.1
58,0.05,0.091,0.3286,0.04,635.257,3.2
59,0.05,0.091,0.3286,0.06,635.453,3.3
60,0.05,0.091,0.3286,0.08,640.61,3.5
61,0.05,0.091,0.3286,0.1,642.708,3.9
62,0.05,0.091,0.3286,0.12,643.684,5.1
63,0.05,0.091,0.3286,0.14,636.189,2.8
64,0.05,0.091,0.4929,0.02,641.758,3.8
65,0.05,0.091,0.4929,0.04,643.721,3.5
66,0.05,0.091,0.4929,0.06,635.928,2.3
67,0.05,0.091,0.4929,0.08,638.778,4.5
68,0.05,0.091,0.4929,0.1,637.518,1.7
69,0.05,0.091,0.4929,0.12,638.713,3.3
70,0.05,0.091,0.4929,0.14,641.486,3.8
71,0.05,0.091,0.6572,0.02,638.495,3.8
72,0.05,0.091,0.6572,0.04,640.786,3.4
73,0.05,0.091,0.6572,0.06,637.61,27.9549
74,0.05,0.091,0.6572,0.08,636.84,2.4
75,0.05,0.091,0.6572,0.1,641.549,26.587
76,0.05,0.091,0.6572,0.12,643.874,3.4
77,0.05,0.091,0.6572,0.14,640.055,3.2
78,0.05,0.091,0.8215,0.02,639.771,3.4
79,0.05,0.091,0.8215,0.04,637.794,2.3
80,0.05,0.091,0.8215,0.06,634.56,8.3
81,0.05,0.091,0.8215,0.08,640.757,3.1
82,0.05,0.091,0.8215,0.1,635.925,3.6
83,0.05,0.091,0.8215,0.12,639.621,4.6
84,0.05,0.091,0.8215,0.14,635.945,4.6
85,0.05,0.091,0.9858,0.02,637.454,3.2
86,0.05,0.091,0.9858,0.04,637.156,3.8
87,0.05,0.091,0.9858,0.06,640.008,3.3
88,0.05,0.091,0.9858,0.08,642.409,4.5
89,0.05,0.091,0.9858,0.1,643.604,26.3803
90,0.05,0.091,0.9858,0.12,638.846,3.4
91,0.05,0.091,0.9858,0.14,639.896,25.5124
92,0.05,0.091,1.1501,0.02,641.847,2.5
93,0.05,0.091,1.1501,0.04,640.851,4.6
94,0.05,0.091,1.1501,0.06,639.595,4.2
95,0.05,0.091,1.1501,0.08,643.393,3.8
96,0.05,0.091,1.1501,0.1,642.112,3.2
97,0.05,0.091,1.1501,0.12,639.61,4.5
98,0.05,0.091,1.1501,0.14,643.458,26.9813
99,0.05,0.1365,0.1643,0.02,638.986,4.5
100,0.05,0.1365,0.1643,0.04,640.281,4.5
101,0.05,0.1365,0.1643,0.06,640.63,4.7
102,0.05,0.1365,0.1643,0.08,646.154,4.7
103,0.05,0.1365,0.1643,0.1,647.507,4.1
104,0.05,0.1365,0.1643,0.12,654.594,3.7
105,0.05,0.1365,0.1643,0.14,650.583,25.8373
106,0.05,0.1365,0.3286,0.02,640.782,2.9
107,0.05,0.1365,0.3286,0.04,640.227,3.4
108,0.05,0.1365,0.3286,0.06,639.774,29.7311
109,0.05,0.1365,0.3286,0.08,644.462,2.7
110,0.05,0.1365,0.3286,0.1,650.348,2.9
111,0.05,0.1365,0.3286,0.12,650.676,3.5
112,0.05,0.1365,0.3286,0.14,651.395,2.3
113,0.05,0.1365,0.4929,0.02,640.465,3.4
114,0.05,0.1365,0.4929,0.04,641.474,26.7278
115,0.05,0.1365,0.4929,0.06,649.165,26.3527
116,0.05,0.1365,0.4929,0.08,649.323,4.3
117,0.05,0.1365,0.4929,0.1,646.168,4.3
118,0.05,0.1365,0.4929,0.12,650.008,3.5
119,0.05,0.1365,0.4929,0.14,652.374,2.5
120,0.05,0.1365,0.6572,0.02,641.696,2.6
121,0.05,0.1365,0.6572,0.04,643.927,4.6
122,0.05,0.1365,0.6572,0.06,642.929,2.7
123,0.05,0.1365,0.6572,0.08,646.075,4.5
124,0.05,0.1365,0.6572,0.1,647.901,28.4834
125,0.05,0.1365,0.6572,0.12,650.59,4.1
126,0.05,0.1365,0.6572,0.14,651.803,2.9
127,0.05,0.1365,0.8215,0.02,639.85,3.3
128,0.05,0.1365,0.8215,0.04,640.505,2.2
129,0.05,0.1365,0.8215,0.06,642.89,4.1
130,0.05,0.1365,0.8215,0.08,648.555,3.3
131,0.05,0.1365,0.8215,0.1,653.975,3.7
132,0.05,0.1365,0.8215,0.12,647.239,3.8
133,0.05,0.1365,0.8215,0.14,651.749,3.1
134,0.05,0.1365,0.9858,0.02,645.315,3.8
135,0.05,0.1365,0.9858,0.04,641.12,4.4
136,0.05,0.1365,0.9858,0.06,646.639,2.4
137,0.05,0.1365,0.9858,0.08,646.402,4.4
138,0.05,0.1365,0.9858,0.1,644.203,3.1
139,0.05,0.1365,0.9858,0.12,651.056,3.4
140,0.05,0.1365,0.9858,0.14,653.483,3.9
141,0.05,0.1365,1.1501,0.02,636.16,5.3
142,0.05,0.1365,1.1501,0.04,641.781,3.1
143,0.05,0.1365,1.1501,0.06,642.187,2.9
144,0.05,0.1365,1.1501,0.08,649.118,3.3
145,0.05,0.1365,1.1501,0.1,649.727,3.1
146,0.05,0.1365,1.1501,0.12,655.13,3.3
147,0.05,0.1365,1.1501,0.14,652.651,3.5
148,0.05,0.182,0.1643,0.02,646.846,3.8
149,0.05,0.182,0.1643,0.04,648.755,4.2
150,0.05,0.182,0.1643,0.06,659.493,3.8
151,0.05,0.182,0.1643,0.08,670.844,4.1
152,0.05,0.182,0.1643,0.1,675.375,4.2
153,0.05,0.182,0.1643,0.12,683.329,3.9
154,0.05,0.182,0.1643,0.14,689.868,3.8
155,0.05,0.182,0.3286,0.02,646.513,25.7974
156,0.05,0.182,0.3286,0.04,657.206,5.3
157,0.05,0.182,0.3286,0.06,659.805,3.2
158,0.05,0.182,0.3286,0.08,663.768,1.6
159,0.05,0.182,0.3286,0.1,673.474,26.3612
160,0.05,0.182,0.3286,0.12,680.443,3.4
161,0.05,0.182,0.3286,0.14,687.173,3.6
162,0.05,0.182,0.4929,0.02,650.294,3.7
163,0.05,0.182,0.4929,0.04,653.313,2.5
164,0.05,0.182,0.4929,0.06,659.095,3.3
165,0.05,0.182,0.4929,0.08,668.616,1.7
166,0.05,0.182,0.4929,0.1,675.607,3.3
167,0.05,0.182,0.4929,0.12,680.54,4.1
168,0.05,0.182,0.4929,0.14,687.268,3.4
169,0.05,0.182,0.6572,0.02,650.669,3.2
170,0.05,0.182,0.6572,0.04,651.057,5.2
171,0.05,0.182,0.6572,0.06,663.9,4.3
172,0.05,0.182,0.6572,0.08,669.204,3.1
173,0.05,0.182,0.6572,0.1,675.872,4.9
174,0.05,0.182,0.6572,0.12,684.604,4.9
175,0.05,0.182,0.6572,0.14,689.713,2.9
176,0.05,0.182,0.8215,0.02,646.75,4.4
177,0.05,0.182,0.8215,0.04,656.224,3.1
178,0.05,0.182,0.8215,0.06,662.298,3.5
179,0.05,0.182,0.8215,0.08,668.52,5.2
180,0.05,0.182,0.8215,0.1,676.012,3.8
181,0.05,0.182,0.8215,0.12,679.209,3.2
182,0.05,0.182,0.8215,0.14,688.714,25.4544
183,0.05,0.182,0.9858,0.02,647.064,4.5
184,0.05,0.182,0.9858,0.04,653.478,3.5
185,0.05,0.182,0.9858,0.06,665.059,4.1
186,0.05,0.182,0.9858,0.08,670.275,2.8
187,0.05,0.182,0.9858,0.1,675.578,4.2
188,0.05,0.182,0.9858,0.12,681.5,3.8
189,0.05,0.182,0.9858,0.14,691.086,3.3
190,0.05,0.182,1.1501,0.02,642.613,29.0903
191,0.05,0.182,1.1501,0.04,658.569,6.3
192,0.05,0.182,1.1501,0.06,660.66,25.5131
193,0.05,0.182,1.1501,0.08,670.229,26.2825
194,0.05,0.182,1.1501,0.1,674.873,3.2
195,0.05,0.182,1.1501,0.12,682.431,2.5
196,0.05,0.182,1.1501,0.14,690.056,3.5
197,0.05,0.2275,0.1643,0.02,643.05,3.6
198,0.05,0.2275,0.1643,0.04,648.703,3.2
199,0.05,0.2275,0.1643,0.06,655.059,4.1
200,0.05,0.2275,0.1643,0.08,661.582,3.4
201,0.1,0.091,0.1643,0.1,639.885,4.3
202,0.05,0.2275,0.1643,0.1,671.789,4.2
203,0.05,0.2275,0.1643,0.12,680.43,4.3
204,0.05,0.2275,0.1643,0.14,688.044,3.9
205,0.05,0.2275,0.3286,0.02,647.554,24.007
206,0.05,0.2275,0.3286,0.04,644.888,4.3
207,0.05,0.2275,0.3286,0.06,659.186,3.2
208,0.05,0.2275,0.3286,0.08,663.812,3.7
209,0.05,0.2275,0.3286,0.1,670.33,3.3
210,0.05,0.2275,0.3286,0.12,677.132,3.9
211,0.05,0.2275,0.3286,0.14,687.005,4.6
212,0.05,0.2275,0.4929,0.02,643.233,2.9
213,0.05,0.2275,0.4929,0.04,648.926,3.6
214,0.05,0.2275,0.4929,0.06,655.057,24.8321
215,0.05,0.2275,0.4929,0.08,668.001,3.3
216,0.05,0.2275,0.4929,0.1,671.773,4.4
217,0.05,0.2275,0.4929,0.12,681.518,4.4
218,0.05,0.2275,0.4929,0.14,686.487,3.4
219,0.05,0.2275,0.6572,0.02,640.838,5.5
220,0.05,0.2275,0.6572,0.04,651.043,3.3
221,0.05,0.2275,0.6572,0.06,654.949,3.2
222,0.05,0.2275,0.6572,0.08,660.462,5.3
223,0.05,0.2275,0.6572,0.1,670.396,4.1
224,0.05,0.2275,0.6572,0.12,678.524,4.2
225,0.05,0.2275,0.6572,0.14,688.108,4.5
226,0.05,0.2275,0.8215,0.02,638.138,3.1
227,0.05,0.2275,0.8215,0.04,648.701,2.6
228,0.05,0.2275,0.8215,0.06,655.916,3.1
229,0.05,0.2275,0.8215,0.08,659.823,3.8
230,0.05,0.2275,0.8215,0.1,672.887,4.2
231,0.05,0.2275,0.8215,0.12,678.079,3.4
232,0.05,0.2275,0.8215,0.14,687.523,24.6663
233,0.05,0.2275,0.9858,0.02,642.537,2.7
234,0.05,0.2275,0.9858,0.04,648.084,2.8
235,0.05,0.2275,0.9858,0.06,653.941,3.7
236,0.05,0.2275,0.9858,0.08,663.813,1.9
237,0.05,0.2275,0.9858,0.1,671.841,3.1
238,0.05,0.2275,0.9858,0.12,679.383,4.4
239,0.05,0.2275,0.9858,0.14,685.613,3.2
240,0.05,0.2275,1.1501,0.02,638.509,26.6954
241,0.05,0.2275,1.1501,0.04,650.061,3.8
242,0.05,0.2275,1.1501,0.06,658.233,2.8
243,0.05,0.2275,1.1501,0.08,661.569,2.8
244,0.05,0.2275,1.1501,0.1,669.645,3.9
245,0.05,0.2275,1.1501,0.12,677.733,3.7
246,0.05,0.2275,1.1501,0.14,685.498,3.6
247,0.05,0.273,0.1643,0.02,10.9892,6.9
248,0.05,0.273,0.1643,0.04,8.15659,50.041
249,0.05,0.273,0.1643,0.06,7.14378,4.3
250,0.05,0.273,0.1643,0.08,6.36324,3.9
251,0.05,0.273,0.1643,0.1,5.92817,3.6
252,0.0500,0.273,0.1643,0.12,446.143,--
253,0.0500,0.273,0.1643,0.14,446.143,--
254,0.05,0.273,0.3286,0.02,11.2417,57.7285
255,0.05,0.273,0.3286,0.04,7.90757,4.8
256,0.05,0.273,0.3286,0.06,7.13784,4.3
257,0.05,0.273,0.3286,0.08,6.31181,3.8
258,0.05,0.273,0.3286,0.1,5.89994,3.6
259,0.0500,0.273,0.3286,0.12,446.143,--
260,0.0500,0.273,0.3286,0.14,446.143,--
261,0.05,0.273,0.4929,0.02,10.3739,6.4
262,0.05,0.273,0.4929,0.04,8.13203,4.9
263,0.05,0.273,0.4929,0.06,8.40756,5.1
264,0.05,0.273,0.4929,0.08,6.3481,3.9
265,0.05,0.273,0.4929,0.1,14.7691,15.0
266,0.0500,0.273,0.4929,0.12,446.143,--
267,0.0500,0.273,0.4929,0.14,446.143,--
268,0.05,0.273,0.6572,0.02,10.9938,6.8
